Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
SHEEHAN, Michael McMahon;Canadá;1978;Inglês;Canadá;SHEEHAN, Michael McMahon. Choice of Marriage Partner in the Middle Ages: Development and Mode of Application of a Theory of Marriage. Studies in Medieval and Renaissance History, [S.l.], v. 1, p. 1-34, 1978.;;;;;;;;;;;;;;;;;;;;;
TWINAM, Ann;Estados Unidos;1989;Inglês;EUA;TWINAM, Ann. Honor, sexuality, and illegitimacy in colonial Spanish America. In: LAVRIN, Asunción (ed.). Sexuality and marriage in colonial Latin America. Lincoln: University of Nebraska Press, 1989. p. 118–155;;;;;;;;;;;;;;;;;;;;;
CASTRO, Américo;Espanha;1916;Espanhol;Espanha;CASTRO, Américo. Algunas observaciones acerca del concepto del honor en los siglos XVI y XVII. Revista de Filología Española, Madrid, v. 3, p. 1-30, 1916.;;;;;;;;;;;;;;;;;;;;;
RODRÍGUEZ SÁNCHEZ, Ángel;Espanha;1977;Espanhol;Espanha;RODRÍGUEZ SÁNCHEZ, Ángel. Cáceres: población y comportamientos demográficos en el siglo XVI. Cáceres: Aula de Cultura de la Caja de Ahorros y Monte de Piedad, 1977.;;;;;;;;;;;;;;;;;;;;;
MARQUÉS Y ESPEJO, Antonio;Espanha;1803;Espanhol;Espanha;Antonio Marqués y Espejo, Retórica epistolar o arte nuevo de escribir todo género de cartas, Madri, 1803;;;;;;;;;;;;;;;;;;;;;
REDONDO, Augustin (ed.);França;1985; Francês;França;Augustin Redondo (ed.), Amours légitimes, amours illégitimes en Espagne (XVI- XVII siècles),Paris, 1985;;;;;;;;;;;;;;;;;;;;;
BELSEY, Catherine;Inglaterra;1989;Inglês;Inglaterra;"Catherine Belsey, ""Towards cultural history - in theory and practice"", IN Textual Practice (3), 1989.";;;;;;;;;;;;;;;;;;;;;
DONAHUE JR., Charles;EUA;1983;Inglês;EUA;"Charles Donahue Jr., ""The canon law on the formation of marriage and social practice in the later middle ages"", IN Journal of Family History (8), 1983";;;;;;;;;;;;;;;;;;;;;
LARQUIE, Claude;França;1966;Francês;França;"Claude Larquie, ""Étude de demographie madrilene: la paroisse de San Ginés de 1650 a 1700"", IN Mélanges de la Casa Velásquez (2), 1966";;;;;;;;;;;;;;;;;;;;;
MAZET, Claude;França;1976;Francês;França;"Claude mazet, ""Population et société à lima aux XVII et XVII siècles:la paroisse de San Sebastian (1562-1689)"", IN Cahiers de L'Amérique Latine (13/14), 1976.";;;;;;;;;;;;;;;;;;;;;
REHER, David Sven;Inglaterra;1990;Inglês ;Espanha;David Sven Reher, Town and country in pre-industrial Spain:Cuenca 1550-1870 (Cambridge, Ingl., 1990), p.93,nota 44.;;;;;;;;;;;;;;;;;;;;;
RIOS, Blanca de los;Espanha;1924;Espanhol ;Espanha;"Doña Blanca de los Rios, ""El Viaje de Tirso a Santo Domingo y la genesis del 'Don Juan' "", IN Raza Española (56)1924, fixa a data entre 1625 e 1629.";;;;;;;;;;;;;;;;;;;;;
LARSON, Donald;EUA;1977; Inglês;EUA;Donald Larson, The honor dramas of Lope de Vega (Cambridge, Ma., 1977).;;;;;;;;;;;;;;;;;;;;;
RHODES, Elizabeth;EUA;1987;Inglês;EUA;"Elizabeth Rhodes, ""Skirting the men: gender roles in sixteenth-century pastoral books"", IN Journal of Hispanic Philology (11), 1987.";;;;;;;;;;;;;;;;;;;;;
ELIZONDO, Francisco Antonio;Espanha;1779;Espanhol;Espanha;Francisco Antonio Elizondo, Práctica universal forense (quarta edição, Madri, 1779).;;;;;;;;;;;;;;;;;;;;;
CHENON, Émile;França;1912; Francês;França;"Émile Chenon, ""Recherches historiques sur quelques rites nuptiaux"", IN Nouvelle revue historique de droit français et étranger (36), 1912";;;;;;;;;;;;;;;;;;;;;
MONTERROSO Y ALVARADO, Gabriel de;Espanha;1566;Espanhol;Espanha;Gabriel de Monterroso y Alvarado, Práctica criminal y civil (Valladolid, 1566);;;;;;;;;;;;;;;;;;;;;
VERDIER, Gabrielle;EUA;1983;Inglês ;EUA;"Gabrielle Verdier, ""Gender and rhetoric in some seventeenth-century love letters"", IN L'esprit créateur (23), 1983.";;;;;;;;;;;;;;;;;;;;;
EZPELETA Y MALLOL, Gaspar de;Espanha;1760-61;Espanhol ;Espanha;Gaspar de Ezpeleta y Mallol, Práctica de secretarios, segunda edição revista (sexta edição), Madri, 1760-61.;;;;;;;;;;;;;;;;;;;;;
GENDARME DE BÉVOTTE, George;Suíça;1970 (original 1906);Francês;França;George Gendarme de Bévotte, La légende de Don Juan: son évolution dans la litérature des origines au romantisme (edição original de 1906), Genebra, 1970.;;;;;;;;;;;;;;;;;;;;;
GAUDEMET, Jean;França;1974;Francês;França;"Jean Gaudemet, ""Législation canonique et attitudes seculières à l'égard du lien matrimonial au XVII siècle"", IN XVII Siècle (102-3),1974.";;;;;;;;;;;;;;;;;;;;;
HOWARD, Jean;Inglaterra;1986;Inglês;EUA;"Jean Howard,""The new historicism in Renaissance studies"", IN English Literary Renaissance (16), (1986).";;;;;;;;;;;;;;;;;;;;;
FLANDRIN, Jean Louis;França;1977; Inglês (tradução FR>EN);França;"Jean Louis Flandrin, ""Repression and change in the sexual life of young people in medieval and early modern times"", IN Journal of Family History (2),1977";;;;;;;;;;;;;;;;;;;;;
CULLER, Jonathan;EUA;1981;Inglês;EUA;Jonathan Culler, The pursuit of signs (Ithaca, 1981).;;;;;;;;;;;;;;;;;;;;;
DOLLIMORE, Jonathan e SINFIELD, Alan;Inglaterra;1985;Inglês;Inglaterra;Jonathan Dollimore e Alan Sinfield, Political Shakespeare: New essays in cultural materialism (Manchester, 1985);;;;;;;;;;;;;;;;;;;;;
GOLDBERG, Jonathan;EUA;1982; Inglês;EUA;"Jonathan Goldberg, ""The politics of Renaissance literature: a review essay"", IN ELH (49) 1982";;;;;;;;;;;;;;;;;;;;;
BAUTISTA, Juan;México;1600-1601;Espanhol;Espanha;BAUTISTA, Juan. Advertencias para los confessores de los Naturales. México: s.n., 1600-1601.;;;;;;;;;;;;;;;;;;;;;
HEVIA BOLAÑOS, Juan de;Espanha;1725;Espanhol;Espanha;HEVIA BOLAÑOS, Juan de. Curia Filipica. v. 1. Madrid: F. del Hierro, 1725.;;;;;;;;;;;;;;;;;;;;;
GARCÍA GONZÁLEZ, Juan;Espanha;1953;Espanhol;Espanha;"Juan Garcia González, ""El incumplimiento de las promesas de matrimonio en la historia del derecho español"", IN Anuario de historia del derecho español (23),1953";;;;;;;;;;;;;;;;;;;;;
MUÑOZ, Juan;Espanha;1618; Espanhol;Espanha;Juan Muñoz, Práctica para procuradores para seguir pleitos civiles y criminales (Madri, 1618);;;;;;;;;;;;;;;;;;;;;
KRISTEVA, Julia;França;1969;Francês ;França;Julia Kristeva, Semiotike (Paris,1969).;;;;;;;;;;;;;;;;;;;;;
FALK, Kathryn;EUA;1984; Inglês ;EUA;Kathryn Falk, How to write a romance and get it published (New York, 1984).;;;;;;;;;;;;;;;;;;;;;
MONTROSE, Louis A.;EUA;1980; Inglês ;EUA;L.A. Montrose, Renaissance self-fashioning: from More to Shakespeare (Chicago, 1980).;;;;;;;;;;;;;;;;;;;;;
WEINSTEIN, Leo;EUA;1959;Inglês ;EUA;Leo Weinstein, The metamorphosis of Don Juan (Stanford, 1959).;;;;;;;;;;;;;;;;;;;;;
LEWIN, Linda;EUA;1992; Inglês ;EUA;"Linda Lewin, ""Natural and illegitimate children in Brazilian inheritance law from colony to empire: a methodological note"", IN The Americas (48),1992";;;;;;;;;;;;;;;;;;;;;
KAUFFMAN, Linda S.;EUA;1986;Inglês;EUA;Linda S. Kauffman, Discourses of Desire: Gender, Genre, and Epistolary Fictions (Ithaca, 1986);;;;;;;;;;;;;;;;;;;;;
MONTROSE, Louis A.;EUA;1986;Inglês ;EUA;"Louis A. Montrose, ""Renaissance literary studies and the subject of history"", IN English Literary Renaissance (16), 1986";;;;;;;;;;;;;;;;;;;;;
FERNÁNDEZ ÁLVAREZ, Manuel;Espanha;1975;Espanhol ;Espanha;"Manuel Fernandez Alvarez, ""Demografia de Salamanca en el siglo XVI através de los fondos parroquiales"", IN Homenaje al Dr. D. Juan Regla Campistol (Valencia, 1975).";;;;;;;;;;;;;;;;;;;;;
FERNÁNDEZ DE AYALA, Manuel;Espanha;1667;Espanhol;Espanha;Manuel Fernández de Ayala, Práctica y formulario de la real chancelleria de Valladolid (Valladolid, 1667);;;;;;;;;;;;;;;;;;;;;
PÉREZ, Manuel;México;1713;Espanhol;México;Manuel Pérez, Farol indiano (México, 1713), p.44;;;;;;;;;;;;;;;;;;;;;
ANSON CALVO, Maria del Carmen;Espanha;1976;Espanhol;Espanha;"Maria del Carmen Anson Calvo, ""Un estudio demográfico con ordenadores: la parroquia de san Pablo de Zaragosa de 1600 a 1660"", IN Estudios del departamento de historia (1), 1976";;;;;;;;;;;;;;;;;;;;;
GONZÁLEZ MUÑOZ, Maria del Carmen;Espanha;1974;Espanhol;Espanha;Maria del Carmen Gonzales Muñoz, La población de Talavera de la Reina (siglos XVI-XX), Toledo, 1974;;;;;;;;;;;;;;;;;;;;;
PHAN, Marie-Claude;França;1986;Francês ;França;Marie-Claude Phan, Les amours illégitimes (Paris, 1986).;;;;;;;;;;;;;;;;;;;;;
SHEEHAN, Michael M.;EUA;1971;Inglês;Canadá;"Michael M. Sheehan, ""The formation and stability of marriage in fourteenth-century England: evidence of an Ely register"", IN Medieval Studies (33), 1971";;;;;;;;;;;;;;;;;;;;;
RIFFATERRE, Michael;EUA;1978;Inglês ;EUA;Michael Riffaterre, Semiotics of poetry (Bloomington, In.,1978);;;;;;;;;;;;;;;;;;;;;
BLOOM, Harold;EUA;1983;Inglês ;EUA; Harold Bloom, The anxiety of influence (New York, 1983).;;;;;;;;;;;;;;;;;;;;;
ADAM, Nathanael;França;1616;Francês;França;Nathanael Adam, Le secretaire françois, Paris, 1616;;;;;;;;;;;;;;;;;;;;;
DUNN, P.;EUA;1965;Inglês ;EUA;"P. Dunn, ""Honor and the Christian background in Calderon"", IN Bruce Wardhopper (ed.), Critical essays on the theater of Calderon (New York, 1965)";;;;;;;;;;;;;;;;;;;;;
RICHELET, P.;França;s/d;Francês ;França;P.Richelet, Les plus belles lettres, vol.1;;;;;;;;;;;;;;;;;;;;;
SEED, Patricia;EUA;1988;Inglês ;EUA;"Patricia Seed, ""Marriage promises and the value of a woman's testimony in colonial Mexico"", IN SIGNS (13) 2, 1988.";;;;;;;;;;;;;;;;;;;;;
SEED, Patricia;EUA;1988; Inglês;EUA;Patricia Seed, To love, honor and obey in colonial Mexico (Stanford, 1988).;;;;;;;;;;;;;;;;;;;;;
RICOEUR, Paul;EUA;1970; Inglês (tradução FR>EN) ;França;Paul Ricoeur, Freud: an essay in interpretation, trad. de Denis Savage (New Haven, 1970).;;;;;;;;;;;;;;;;;;;;;
LUJÁN, Pedro;Espanha;s/d;Espanhol;Espanha;"Pedro Luján, ""Coloquios matrimoniales"", IN BN, Madri, ms.6458, parte 2, colóquio 3.";;;;;;;;;;;;;;;;;;;;;
MOLINOS, Pedro;Espanha;1575;Espanhol ;Espanha;Pedro Molinos, Libro de la práctica judiciaria del reyno de Aragon (Zaragosa, 1575);;;;;;;;;;;;;;;;;;;;;
BOURDIEU, Pierre;Inglaterra;1977;Inglês (tradução FR>EN) ;França;Pierre Bourdieu, IN Outline of a theory of practice, trad. de Richard Nice (Cambridge, Ingl.,1977).;;;;;;;;;;;;;;;;;;;;;
PLA ALBEROLA, Primitivo J.;Espanha;1987; Espanhol ;Espanha;"Primitivo J. Pla Alberola, ""Familia y matrimonio en la Valencia moderna. Apuntes para su estudio"", IN La familia en la España mediterranea (siglos XV-XIX), Barcelona, 1987.";;;;;;;;;;;;;;;;;;;;;
MENÉNDEZ PIDAL, Ramón;Espanha;1977; Espanhol ;Espanha;MENÉNDEZ PIDAL, Ramón. España, eslabón entre la Cristiandad y el Islam. 3. ed. Madrid: Espasa-Calpe, 1977. (Colección Austral, 1280).;;;;;;;;;;;;;;;;;;;;;
LEVAGGI, Ricardo Abelardo;Argentina;1970; Espanhol;Argentina;"Ricardo Abelardo Levaggi, ""Esponsales: su régimen jurídico en Castilla, las Indias y el Rio de la Plata hasta la codificación"", IN Revista del Instituto de derecho Ricardo Levene (21), 1970.";;;;;;;;;;;;;;;;;;;;;
KONETZKE, Richard (ed.);Espanha;1962;Espanhol;Espanha;Richard Konetzke (ed.), Coleccion de documentos (Madri, 1962);;;;;;;;;;;;;;;;;;;;;
KAGAN, Richard L.;EUA;1981; Inglês ;EUA;Richard L. Kagan, Law suits and Litigants in Castile, 1500-17)) (Chapel Hill, 1981).;;;;;;;;;;;;;;;;;;;;;
BARTHES, Roland;França;1970;Francês ;França;Roland Barthes, S/Z (Paris, 1970).;;;;;;;;;;;;;;;;;;;;;
GRUZINSKI, Serge;México;1986;Espanhol (tradução FR>ES) ;França;"Serge Gruzinski, ""Las cenizas del deseo. Homosexuales novo-hispanos a mediados del siglo XVII"", IN Sergio Noriega (ed.), De la santidad a la perversión (Cidade do México, 1986).";;;;;;;;;;;;;;;;;;;;;
FELDMAN, Shoshana;EUA;1983; Inglês (tradução FR>EN);França;"Shoshana Feldman, ""A história ... é feita de trivialidades"" uma vez que,"" ao contrário do dizer, o fazer é sempre trivial"", Literary Speech Act: Don Juan with J.L. Austin or Seduction in Two Languages, tradução de Catherine Porter (Ithaca, 1983).";;;;;;;;;;;;;;;;;;;;;
GREENBLATT, Stephen;EUA;1982;Inglês;EUA;"Stephen Greenblatt, ""Introduction"", organizador de The forms of power and the power of forms in the Renaissance (Norman, OK, 1982)";;;;;;;;;;;;;;;;;;;;;
DE MOLINA, Tirso;EUA;1963;Inglês (tradução ES>EN) ;Espanha;The Playboy of Seville, traduzido por Adrienne M.Schizzano e Oscar Mendel, Ato I, cena 1, em Mandel (ed.), The theater of Don Juan (Lincoln, Nebr.1963).;;;;;;;;;;;;;;;;;;;;;
DE MOLINA, Tirso;Espanha;1987;Espanhol ;Espanha;Tirso de Molina, El Burlador de Sevilla (Mexico,1987).;;;;;;;;;;;;;;;;;;;;;
CALVO, Tomás;México;1982; Espanhol;México;"Tomas Calvo, ""Familia y registro parroquial: el caso tapatio em el siglo XVII"", IN Relaciones: estudios de história y sociedad (3), 1982.";;;;;;;;;;;;;;;;;;;;;
MATTOSO, José;Portugal;1985;Português;Portugal;José Mattoso. A literatura genealógica e a cultura da nobreza em Portugal (s. XIII-XIV), IN Portugal Medieval: novas interpretações, Lousã, Imprensa Nacional, 1985.;;;;;;;;;;;;;;;;;;;;;
COSTA, Iraci del Nero;Brasil;1980;Português;Brasil;Costa, Iraci del Nero da. A Vida Quotidiana Em Julgamento: Devassas Em Minas Gerais.;;;;;;;;;;;;;;;;;;;;;
LUNA, Francisco Vidal. Costa, Iraci del Nero;Brasil;1982; Português;Brasil;"LUNA, Francisco Vidal; COSTA, Iraci del Nero da. Devassa nas Minas Gerais: observações sobre casos de concubinato. Anais do Museu Paulista: História e Cultura Material, São Paulo, n. Tomo XXXI, p. 221–233, 1982. DOI: 10.11606/1982-02671982TomoXXXIe6.";;;;;;;;;;;;;;;;;;;;;
LUNA, Francisco Vidal. Costa, Iraci del Nero;Espanha;1984;Português;Espanha;Devassas nas Minas Gerais: do crime à Punição, IN Anuário de Estudios Americanos, tomo XXXIX, Sevilla, 1984.;;;;;;;;;;;;;;;;;;;;;
PERISTIANY J. G;EUA;1965;Inglês;EUA;PERISTIANY J. G. Honor and Social Status, IN J. G. Perisitiany (ed), Honor and Shame: the values of Mediterranean Society, Chicago, Weidenfeld and Nicolson, 1965.;;;;;;;;;;;;;;;;;;;;;
FREIRE-MAIA, Newton;EUA;1968;Inglês;Brasil;FREIRE-MAIA, Newton. Inbreeding Levels in American and Canadian Populations: a comparison with Latin America, IN Eugenics Quarterly, vol 15, n. 1, março de 1968.;;;;;;;;;;;;;;;;;;;;;
SEED, Patricia;EUA;1993;Português;Brasil;Narrativas de Don Juan: a linguagem da sedução na literaura e na sociedade espanhola do século dezessete, Cadernos Pagu, n 2, 1994.;;;;;;;;;;;;;;;;;;;;;
BITTENCOURT, André Veiga ;Brasil;1993; Português;Brasil;BITTENCOURT, André Veiga. O 'pré-capitalismo' na formação do povo brasileiro, IN Élide Bastos e J. Quartim de Moraes (orgs), O Pensamento de Oliveira Vianna, Campinas, Editora da UNICAMP, 1993.;;;;;;;;;;;;;;;;;;;;;
SALZANO, Francisco M. e FREIRE-MAIA, Newton;Brasil;1967;Português;Brasil;“Uma ilha populacional dotada, em geral, de limites imprecisos de ordem geográfica, social, religiosa, política, étnica, cultural etc” (Salzano e Freire-Maia, População Brasileiras, São Paulo, Cia. Editora Nacional/Edusp, 1967.;;;;;;;;;;;;;;;;;;;;;
GIDDENS, Anthony;Inglaterra;1990;Inglês;Inglaterra;A Contemporary Critique of Historical Materialism, Londres, MacMillan, 1990.;;;;;;;;;;;;;;;;;;;;;
CANDIDO, Antonio;EUA;1951;Inglês;Brasil;"CANDIDO, Antonio. ""The Brazilian Family"". In: SMITH, T. Lynn; MARCHAND, Alexander (Eds.). Brazil: Portrait of Half a Continent. New York: Dryden Press, 1951.";;;;;;;;;;;;;;;;;;;;;
TOCQUEVILLE, Alexis de;França;1956;Francês;França;Alexis de Tocqueville, Correspondance d'Alexis de Tocqueville et d'Arthur de Gobineau, Tome IX, Oeuvres Complètes, Paris, Gallimard, 1956, p.47.;;;;;;;;;;;;;;;;;;;;;
TOCQUEVILLE, Alexis de;México;1957;Espanhol (tradução FR>ES) ;França;Alexis de Tocqueville, La Democracia en América, Mexico, Fondo de Cultura Económica, 1957, p.648.;;;;;;;;;;;;;;;;;;;;;
SOUZA, Amaury de;Brasil;1973;Português;Brasil;"Amaury de Souza, ""O Cangaço e a Política da Violência no Nordeste"", IN DADOS,nº 10, Rio, IUPERJ, 1973.";;;;;;;;;;;;;;;;;;;;;
CASTRO, Américo;Espanha;1915;Espanhol;Espanha;Américo Castro, Algunas Observaciones acerca del concepto del honor en los siglos XVI y XVII (Madrid, 1915).;;;;;;;;;;;;;;;;;;;;;
NOUGUÉ, André ;Espanha;1979;Espanhol;Espanha;André Nougué a Tirso de Molina, El Bandolero, Madrid, Castalia, 1979.;;;;;;;;;;;;;;;;;;;;;
ARAUJO, Antônio Amaury Corrêa de;Brasil;1984;Português;Brasil;Antônio Amaury Corrêa de Araujo, Lampião: as mulhere e o cangaço, São Paulo, Editora Traço, 1984.;;;;;;;;;;;;;;;;;;;;;
ARANTES, Antonio Augusto;Brasil;1971; Português;Brasil;"Antonio Augusto Arantes, ""O Compadrio no Brasil Rural: analise estrutural de uma instituição ritual"", IN Cadernos do Instituto de Filosofia e Ciências Humanas (1), Campinas, Unicamp/IFLCH, 1971.";;;;;;;;;;;;;;;;;;;;;
SARAIVA, Antonio José;Portugal;1985; Português ;Portugal;Antonio José Saraiva, Inquisição e Cristãos-Novos, Lisboa, Editorial Estampa, 1985.;;;;;;;;;;;;;;;;;;;;;
BENNASSAR, Bartolomé;Espanha;1984; Espanhol (tradução FR>ES);França;"Bartolomé Bennassar, ""Defensa del Matrimonio Cristiano"", IN Inquisición española: poder político y control social, Barcelona, Grijalbo, 1984, pp.271-274.";;;;;;;;;;;;;;;;;;;;;
CASCUDO, Luís da Câmara;Brasil;1972; Português;Brasil;Camara Cascudo, Dicionário de Folclore Brasileiro, tomo I, Rio, INL/MEC, 1972, páginas 145 e segs., 194 e segs.;;;;;;;;;;;;;;;;;;;;;
LÉVI-STRAUSS, Claude;Argentina;1969;Espanhol (tradução FR>ES); França;Claude Levi-Strauss, Las Estructuras Elementales del Parentesco, Paidos, Bs.As., 1969.;;;;;;;;;;;;;;;;;;;;;
MONTEIRO, Duglas Teixeira;Brasil;1974;Português ;Brasil;Duglas Teixeira Monteiro, Os errantes do Novo século,São Paulo, Duas Cidades, 1974;;;;;;;;;;;;;;;;;;;;;
FAGUET, Émile;França;1910;Francês ;França;Émile Faguet, La Démission de la morale (Paris, 1910);;;;;;;;;;;;;;;;;;;;;
TERRAILLON, Eugène;França;1910;Francês;França;Eugène Terraillon, L'Honneur, sentiment et Principe Morale (Paris, 1910);;;;;;;;;;;;;;;;;;;;;
MELLO, Evaldo Cabral de;Brasil;1989;Português ;Brasil;Evaldo Cabral de Mello, O Nome e o Sangue: uma fralde genealógica no Pernambuco Colonial, São Paulo, Cia das Letras, 1989.;;;;;;;;;;;;;;;;;;;;;
BALANDIER, Georges;Brasil;1977;Português (tradução FR>PT) ;França;G. Balandier, Antropo-lógicas, São Paulo, Cultrix/USP, 1977, p. 64.;;;;;;;;;;;;;;;;;;;;;
GARDNER, George;Brasil;1975;Português (tradução EN>PT) ;Inglaterra;G. Gardner, Viagem ao Interior do Brasil, Belo Horizonte, Itatiaia, 1975.;;;;;;;;;;;;;;;;;;;;;
RAMOS, Graciliano;Brasil;s/d;Português;Brasil;Graciliano Ramos, Viventes das Alagoas, São Paulo, Martins Editora, s/d.;;;;;;;;;;;;;;;;;;;;;
RUGGIERO, Guido;Itália;1987;Italiano ;Itália;"Guido Ruggiero, "" 'Più che la vita caro': onore, matrimonio e reputazione femminile nel tardo Rinascimento"", IN Quaderni Storici, n. 66, ano XXI, fascicolo 3, Bologna, dicembre 1987.";;;;;;;;;;;;;;;;;;;;;
BARROSO, Gustavo;Brasil;1917;Português;Brasil;Gustavo Baroso, Heroes e Bandidos, Fortaleza, 1917.;;;;;;;;;;;;;;;;;;;;;
FOURQUIN, Guy;Portugal;s/d;Português (tradução FR>PT;França;Guy Fourquin, Senhorio e Feudalidade na Idade Média, Lisboa, Edições 70, s/d., p. 79.;;;;;;;;;;;;;;;;;;;;;
KOSTER, Henry;Brasil;1978;Português (tradução EN>PT) ;Inglaterra;Henry Koster, Viagens ao Nordeste do Brasil, Recife, Sec. de Educação e Cultura de Pernambuco, 1978, p. 71-2.;;;;;;;;;;;;;;;;;;;;;
PINHEIRO, Irineu;Brasil;1950;Português;Brasil;Irineu Pinheiro, O Cariri, Fortaleza, 1950, p. 93.;;;;;;;;;;;;;;;;;;;;;
FRAZER, James;México;1981;Espanhol (tradução EN>ES) ;Escócia;James Frazer, La Rama Dorada, Fondo de Cultura Economica, México, 1981, pp. 272-274.;;;;;;;;;;;;;;;;;;;;;
FARR, James R.;Itália;1987;Italiano (tradução IT>EN) ;EUA;"James R. Farr, ""Crimine nel vicinato: ingiure, matrimonio e onore nella Digione de XVI e XVII secolo"", IN Quaderni Storici, n. 66, ano XXI, fascicolo 3, Bologna, dicembre 1987.";;;;;;;;;;;;;;;;;;;;;
VILAR, Jean;França;1979;Francês;França;"Jean Vilar, ""Le picarisme espagnol: de l'interférence des marginalités à ler sublimation esthétique"", IN Les Marginaux et les Exclus dans l'histoire, Paris, Union Générale d'Éditions, 1979.";;;;;;;;;;;;;;;;;;;;;
MARAVALL, José Antonio;Espanha;1989;Espanhol ;Espanha;José Antonio Maravall, Poder, Honor y Élites en el Siglo XVII, Madrid, Siglo XXI, 1989.;;;;;;;;;;;;;;;;;;;;;
PITT-RIVERS, Julian e PERISTIANY, J. G. (orgs.);Espanha;1992;Espanhol ;Inglaterra;Julian Pitt-Rivers e J. G. Peristiany (org), Honor y Gracia, Madrid, Alianza Editorial, 1992.;;;;;;;;;;;;;;;;;;;;;
BELLO, Julio;Brasil;1948;Português ;Brasil;Julio Bello, Memórias de um Senhor de Engenho, Rio, José Olympio, 1948, p. 33.;;;;;;;;;;;;;;;;;;;;;
MARX, Karl;Argentina;1971;Espanhol (tradução DE>ES) ;Alemanha;Karl Marx, Elementos Fundamentales para la Crítica de la Economia Politica, Buenos Aires, Siglo XXI, vol. I, 1971, p. 85.;;;;;;;;;;;;;;;;;;;;;
COSTA PINTO, L. A.;Brasil;1980;Português;Brasil;L. A. da Costa Pinto, Lutas de Famílias no Brasil, São Paulo, Cia Editora Nacional, 1980.;;;;;;;;;;;;;;;;;;;;;
LEWIN, Linda;Brasil;1993;Português (tradução EN>PT) ;EUA;LEWIN, Linda. Política e parentela na Paraíba: um estudo de caso da oligarquia de base familiar. Tradução de André Villalobos. Rio de Janeiro: Record, 1993. 432 p..;;;;;;;;;;;;;;;;;;;;;
LEWIN, Linda;EUA;1979; Inglês;EUA;"Linda Lewin,""Some Historical Implications of Kinship Organization for Family-based Politics in the Brazilian Northeast"", IN Comparative Studies in Society and History, vol. 2, num. 2, abril de l979.";;;;;;;;;;;;;;;;;;;;;
SANTOS FILHO, Lycurgo;Brasil;1956;Português ;Brasil;Lycurgo Santos Filho, Uma Comunidade Rural do Brasil Antigo, São Paulo, Cia. Editora Nacional, 1956, p. 152.;;;;;;;;;;;;;;;;;;;;;
PAIVA, Manoel de Oliveira;Brasil;1965;Português ;Brasil;Manoel de Oliveira Paiva, Dona Guidinha do Poço, Rio, Edições de Ouro, 1965, p. 80.;;;;;;;;;;;;;;;;;;;;;
AUGÉ, Marc;Portugal;1978; Português (tradução FR>PT);França;Marc Augé, Os Domínios do Parentesco, Lisboa, Edições 70, l978, p.33.;;;;;;;;;;;;;;;;;;;;;
QUEIROZ, Maria Isaura Pereira de;Brasil;1976;Português ;Brasil;Maria Isaura Pereira de Queiroz, O Mandonismo Local na Vida Política Brasileira, São Paulo, Alfa Ômega, 1976, p. 45.;;;;;;;;;;;;;;;;;;;;;
FRANCO, Maria Sylvia de Carvalho;Brasil;1974;Português ;Brasil;Maria Sylvia de Carvalho Franco, Os Homens Livres na Ordem Escravocrata, São Paulo, Ática, 1974;;;;;;;;;;;;;;;;;;;;;
GAUTHERON, Marie;Brasil;1992;Português (tradução FR>PT) ; França;"Marie Gautheron, ""Prefácio"", IN A Honra, Porto Alegre, LP&M, 1992.";;;;;;;;;;;;;;;;;;;;;
